channel_id,channel_title,channel_name
UC1nqMqjwWkcN80yfHM6Hcow,Aishwa Nahla Official,AishwaNahla
UCUaZwCnn6Z-16BmkKngSs0g,Tayo Bus Kecil - Tayo Bahasa Indonesia,Tayo
UCPgrYeWcpOkyejYpKWf22zQ,Maul Ibra,MaulIbra
UCRFaDqnG9BDE4mpRlXt8pNg,JalanTikus,JalanTikus
UC4yFyIPBcHKXplfjsEZ_t8A,Thariq Halilintar,Thariq
UCIqzqfsgUqctbM-MANntwuQ,Putih Abu-Abu,PutihAbuAbu
UCww1ChPmojYTXoor8q5tsqQ,Vincent Raditya,VincentRaditya
UChC0SS7gzZcoNJShR9Qh8Nw,The Hermansyah A6,TheHermansyahA
UC6SPCnTAIanF2_8ST2wrQzw,TAULANY TV,TAULANY
UCS7H8U-n5mINVJjJsaRtGHg,Shaun the Sheep [BahasaIndonesia],ShaunSheep
UC2lCrx1QJF_hLT4atkZf6Ew,HALILINTAR LENGGOGENI,HALILINTAR
UCSg-Y9uI1E-my-I4WKKioEQ,SISI TERANG,SISITERANG
UC6it8Tc6yFFVcbhp8W4OsIQ,NAYofficial,NAY
UCIWUnAI0GL4LDfCUeOOq7xg,efdewe,efdewe
UC6-YfN15oLcbL4I7RGbuKnA,Tokek,Tokek
UCebb7o98FEA73WjNsCja5Xg,Trinity Optima Production,TrinityOptima
UCVB4ZivEBReX0f2rrz7JL-A,Fakta Populer,FaktaPopuler
UCNYvkAHBuLfOzUBuR1Uvv9w,Hobby Makan,HobbyMakan
UCveWi6uuOZbGODjcVWJMW7Q,Kananda Widyantara,KanandaWidyantara
UCXkRFUruW9lg4hEBILMVkPQ,Korea Reomit,KoreaReomit
UC8J8jWVZK9isJAU579ulheg,Obbyphy,Obbyphy
UC-ASDT9n-sUPwA7uUPN0OoQ,Calon Sarjana,CalonSarjana
UCujcefJzhIMthewp1l5Rc7Q,syam kapuk,syamkapuk
UC72YzxWLsng_rTrTMYlFLgw,Ibu dan Balita Indonesia,IbudanBalita
UClEZXxVmQTI5o-ZFT_HDXvA,MAQ,MAQ
UC_ZTmAt4G3AotY5RtfDK3Pg,Edho Zell,EdhoZell
UC0ohl1eKTtlJNqbD-HWRQVg,MILYHYA,MILYHYA
UC9OUldB9j6PS5_WP77Lz0Uw,LESTI CHANNEL,LESTI
UCrmaNLTz1x931Ig5Yuauf2w,Hanin Dhiya,HaninDhiya
UCxvwscmR_VAfBY-ZI2VGuKw,dunia MANJI,duniaMANJI
UCJCSL8IJfD4d5nunRrmrT1Q,tasya farasya,tasyafarasya
UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews,tvOne
UCG9eNeLwgczW2cI1X51y1fw,Diva The Series,DivaTheSeries
UCADZVxC_4omYiNDLcsDoCeg,Londokampung,Londokampung
UCU_scVgSTMPeKIXrl6F9vAw,BrandonKent Everything,BrandonKent
UCYJo04cZFlwL3XNnJ8aYtTw,HITS Records,HITS
UCWfIdNrwmczMu8T7261X8hg,Afif Yulistian,AfifYulistian
UCZDmLXjwoAHyfx8byAbpP5g,Aish TV,Aish
UCxTVvAgJyIjw-zmJex4nyhg,Kang Ujang Busthomi cirebon,KangUjang
UCYEa4_MC7OFjcWrO6SO-u8g,Indonesia Lawyers Club,ILC
UCN2loZdLkfI2tePDxz7K7DA,YtCrash Islam,YtCrashIslam
UC_YR-QPyb4SovoAPAfnkTsg,ascadamusik,ascadamusik
UC43nz9qnZ7AIrbOlfxejTig,123 GO! Indonesian,123GO!
UCBcREx7wgTLTIj_VKFgOEDQ,KULGAR,KULGAR
UCepgnl-TtJ8DurHdC6EE22w,Ria SW,RiaSW
UCMTcqreJj9HY0SEzyn7wzHg,Nino Kuya,NinoKuya
UCmlgRPrwvyHaS1jYXJifNqg,Picky Picks,PickyPicks
UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews.com,Tribunnewscom
UCHp2SluAk-yZGIcVDmIsaYQ,BANG ALEX,BANGALEX
UC3yFi2eTanFWEE3_ln3XoaQ,Nex Carlos,NexCarlos
UConZUB9SoH7H1Sp5wvzEEpg,Glenn Julifer,GlennJulifer
UCHfN0V-IVI2kuJEKGcv_Slg,Gudang Tutorial,GudangTutorial
UCVv-NJTqYHKp-j3S7Efap4A,Hana Callista,HanaCallista
UCtkl5lsPSSwO2N0xqynhb-Q,INDIRA KALISTHA,INDIRAKALISTHA
UCMCbLotdXzd5Eb8XGLxEEWQ,Gritte Agatha,GritteAgatha
UCNrN1jrDHKE4lCD-BKa9pog,Rumah Ricis,RumahRicis
UCQOtIkbVVCEOkI7RLAYSZgA,Crazy Nikmir REAL,CrazyNikmir
UC8IZ4WQLGHhTCp-dLgHLnlQ,RICIS TV,RICIS
UCXL90_ZHbh-EEwkyV_Tfp2A,Sarah Viloid,SarahViloid
UCUKwvz6XUQmE1fh9v1AqQzA,Merry Riana,MerryRiana
UCWVR1-02IIoipECZlZYNMog,The Sungkars Family,SungkarFamily
UClYc5zDBBjo5-0jPvQS0E5A,ixora,ixora
UCQgGiBlZbtuLaPTWealNLLg,Alingga Putra,AlinggaPutra
UC_yN5V9uNVscyeTM45YkbJg,cahyaniryn,cahyaniryn
UCVmNyOtfN8DpAMLGoFXhq9w,Young Lex,YoungLex
UCqQbjiiTFh2aWtcXGFUjblQ,Felix Official,Felix
UCufZZwAxY47JDEdt5EIcFjQ,nathan fingerstyle,nathan
UCFmrk7rY-e9W3q_7r9lCIQg,QAHTAN HALILINTAR,QAHTAN
UCPv35BRYD_p33oSpvxhy4MQ,Putu Bahagiana - Kontrakankeras,PutuBahagiana
UCOOsdBHpKlKVSWrlmxxotow,Pelangi Warna,PelangiWarna
UCirWugW5e03u3DUGA87s58A,Oura Gaming,OuraGaming
UCeTUCqbWph7YQVn9Jf4SuFQ,Lampu Islam,LampuIslam
UCSBlZzgIRRCXjWFcUGX7swQ,Sohwa Halilintar,Sohwa
UCDL7vZuiAubzIVQDyDUu0uQ,Dalang Pelo,DalangPelo
UCDqrEypJgp5APcJkK9SKS3Q,Day Helder,DayHelder
UCcdCApYTdDnjAageD4a1Xdw,Fatimah Halilintar,Fatimah
UC3jQLJLQrzXnoa3Y0MliK9Q,Felicya Angellista,FelicyaAngellista
UC2zvYA-I_HtKfQnjNGY2VFA,Syakir Daulay,SyakirDaulay
UCUTc6457VhzHj-Bt2ejm2BA,skinnyindonesian24,skinnyindonesian24
UC4k2fQYgEVgC8fxcJ5s5xag,Keira Charma,KeiraCharma
UC29ohwdVl6Ks4ZlQ733zxXA,marisha chacha,marishachacha
UCJTUhLSdcnP92xb62hA8RFA,Bayu Skak,BayuSkak
UCHb7bDmZ5AQJFQrGPntk3fg,Teguh Sugianto,TeguhSugianto
UC8zZ084em5pohjs6kk2Bpaw,Stand Up Kompas TV,StandUpKompasTV
UCUvPGTI0_M0jgxjWKG8K5Hg,Warganet Life Official,WarganetLife
UC3WqzP3X5rzpuvlOLXz6gmw,Praya Brother,PrayaBrother
UCb9-JNR7ljCLTc2h5gVDcJg,Aurelie Hermansyah,AurelieHermansyah
UCBOSOWt_VXm_XBWNbTMDwnw,Zara Cute,ZaraCute
